mode,total_tasks,concurrency,io_ms,total_time_s,qps,avg_latency_ms,p95_latency_ms,p99_latency_ms,used_memory_mb
platform,10000,100,50,5.030328,1987.94,50.088,50.152,50.241,33.851
virtual,10000,100,50,5.100797,1960.48,50.680,53.138,53.412,37.522
platform,10000,500,50,1.079746,9261.44,50.269,51.091,52.612,272.369
virtual,10000,500,50,1.065626,9384.15,51.480,53.972,59.344,30.853
platform,10000,1000,50,0.642638,15560.86,50.293,52.165,53.025,235.826
virtual,10000,1000,50,0.535626,18669.73,50.593,54.833,55.933,32.472
platform,10000,2000,50,0.493405,20267.31,50.181,50.967,52.506,328.617
virtual,10000,2000,50,0.293697,34048.70,51.431,56.402,56.786,32.954
platform,10000,3000,50,0.552004,18115.82,50.294,52.434,53.694,270.487
virtual,10000,3000,50,0.233966,42741.28,53.168,64.727,68.921,30.956
