mode,total_tasks,concurrency,work,total_time_s,qps,avg_latency_ms,p95_latency_ms,p99_latency_ms,peak_memory_mb
thread,1000,1,200000,11.48458270600031,87.07325512815834,11.445361980998314,12.509612000030756,13.384834000135015,23.90625
asyncio,1000,1,200000,11.06723513299994,90.35680438542693,11.041328009004701,12.266211999758525,13.435891999961314,23.0625
thread,1000,2,200000,11.391607431000011,87.78392391566246,22.6914941479954,35.54306700016241,42.07177299986142,23.90625
asyncio,1000,2,200000,11.368991774999813,87.95854723010532,11.336296246003258,12.548110999887285,14.972836000197276,23.0625
thread,1000,4,200000,11.296550666999792,88.52259680658665,44.899219200001426,88.13988499969128,111.02516399978413,23.90625
asyncio,1000,4,200000,11.280996340000002,88.64465246338338,11.2530980599945,12.437698999747226,13.590924999789422,22.921875
thread,1000,8,200000,11.212310894999973,89.18768034214435,80.9867836840026,179.2512369997894,242.8042009996716,24.046875
asyncio,1000,8,200000,12.149541556999793,82.30763237513794,12.110529604002295,15.977831999862246,19.678657999975258,23.0625
thread,1000,16,200000,11.973396439000226,83.51849077198847,148.5561489619945,360.81949999970675,459.22747700024047,24.1875
asyncio,1000,16,200000,12.37260913099999,80.8236960702546,12.341706845002136,13.555327999711153,14.780555000015738,23.0625
thread,1000,32,200000,12.166984154000147,82.18963609574763,163.06515511000134,503.70382499977495,724.4995609999023,24.328125
asyncio,1000,32,200000,12.82451778299992,77.97564141753479,12.786385394997069,14.155222000226786,15.60451200020907,23.0625
thread,1000,64,200000,12.901223954000216,77.5120254919639,352.41849039099543,1145.783140000276,1533.5484729998825,24.328125
asyncio,1000,64,200000,13.14159515900019,76.09426313175818,13.106976676998329,14.314840999759326,15.777908000018215,23.0625
thread,1000,100,200000,12.252958658999887,81.6129416437305,332.66739272500536,1120.8979420002834,1404.100434999691,25.3125
asyncio,1000,100,200000,12.748669473000064,78.43955811372027,12.720364023992715,13.8730589997067,14.516974999878585,23.0625
