model,total_tasks,concurrency,io_ms,total_time_s,qps,avg_latency_ms,p95_latency_ms,p99_latency_ms,peak_memory_mb
Python asyncio,20000,1000,50,1.096414266000011,18241.280344668376,51.13301380594896,53.26844399996844,57.23173400019732,53.359375
Python asyncio,20000,2000,50,0.6015943959996548,33244.990533474775,52.34673945895156,64.66136200015171,66.98170100025891,53.953125
Python asyncio,20000,3000,50,0.4672717270000248,42801.64804407037,55.01892942385044,82.22122600000148,83.97661000026346,54.1796875
Python asyncio,20000,5000,50,0.4451268130001153,44931.01609674279,71.68534430425075,114.40599399975326,121.2546229999134,55.32421875
Python asyncio,20000,8000,50,0.5699862989999929,35088.56271648777,134.58223895964974,214.24470199963253,223.95293199997468,56.59375
Python asyncio,20000,10000,50,0.5388025520001065,37119.34905608251,161.56199791655206,340.28860600028565,341.2642319999577,58.140625
Java virtual thread,20000,1000,50,1.053496,18984.42,50.879,54.185,66.335,62.239
Java virtual thread,20000,2000,50,0.557881,35849.94,51.497,62.259,63.283,63.049
Java virtual thread,20000,3000,50,0.399602,50049.77,52.223,64.851,68.454,61.195
Java virtual thread,20000,5000,50,0.286082,69910.11,58.112,85.671,99.918,59.928
Java virtual thread,20000,8000,50,0.239562,83485.55,66.22,98.537,103.725,55.25
Java virtual thread,20000,10000,50,0.202284,98870.96,69.125,95.473,95.818,39.235
